车名,价格,里程,发布时间,转手次数,挡位,排量,驱动类型,环保标准,发动机,车型,燃油类型,颜色
哈弗大狗 2021款 1.5T DCT两驱边牧-旺财版,"8.90, , ",7.3,2021年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
林肯大陆 2017款 2.0T 两驱尊享版,"14.40, , ",6.8,2018年9月,0,自动,2,前驱,国V,2,中大型车,92,黑色
Mustang 2015款 5.0L GT 性能版,"34.80, , ",7,2016年12月,0,自动,5,后驱,国V,5,跑车,95,黑色
宝马X1 2021款 xDrive25Li 尊享型,"17.28, , ",4,2021年4月,0,自动,2,四驱,国VI,2,紧凑型SUV,95,白色
奔驰E级(进口) 2021款 E 260 4MATIC 轿跑车,"38.80, , ",4,2021年6月,0,自动,1.5,四驱,国VI,1.5,中大型车,95,绿色
路虎卫士 2023款 改款 110 3.0T P400 X-DYNAMIC HSE,"83.60, , ",3,2023年5月,0,自动,3,四驱,国VI,3,中大型SUV,95,银/灰色
领航员 2020款 3.5T 尊耀版,"95.80, , ",0.01,2023年9月,0,自动,3.5,四驱,国VI,3.5,大型SUV,92,白色
高尔夫・嘉旅 2016款 280TSI 自动豪华型,"9.28, , ",4.8,2017年5月,1,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
奥迪A3 2021款 A3L Limousine 35 TFSI 豪华致雅型,"13.00, , ",1.6,2021年3月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,白色
伊兰特 2021款 1.5L CVT TOP旗舰版,"8.62, , ",3.4,2021年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
沃尔沃V40 2017款 T4 智雅版,"11.89, , ",5.9,2018年1月,0,自动,2,前驱,国V,2,紧凑型车,95,蓝色
奔驰S级 2020款 S 350 L 商务型 臻藏版,"58.80, , ",7,2020年9月,0,自动,3,后驱,国VI,3,大型车,95,黑色
,,,,,,,,,,,,
凯迪拉克CT4 2020款 28T 时尚型,"12.12, , ",7.5,2020年7月,1,自动,2,后驱,国VI,2,中型车,95,红/紫色
发现运动版 2020款 249PS R-Dynamic 性能版,"20.80, , ",5.4,2021年1月,0,自动,2,四驱,国VI,2,中型SUV,95,白色
哈弗H4 2018款 蓝标 1.5GDIT DCT风尚型,"4.56, , ",1.81,2018年7月,1,自动,1.5,前驱,国V,1.5,紧凑型SUV,92,红/紫色
一汽-大众CC 2019款 330TSI 魅颜版 国V,"12.60, , ",3,2018年9月,0,自动,2,前驱,国V,2,中型车,95,白色
昕动 2018款 1.4L 手动标准版,"4.18, , ",5.8,2018年9月,0,手动,1.4,前驱,国V,1.4,紧凑型车,92,白色
", 奥迪A6L 2022款 45 TFSI 臻选动感型","33.88, , ",4.8,2022年10月,,", ",", ",,", ",,,,
凯迪拉克CT5 2020款 改款 28T 豪华型,"17.98, , ",6.5,2020年10月,1,自动,2,后驱,国VI,2,中型车,95,黑色
奔驰E级(进口) 2021款 改款 E 260 轿跑车,"45.80, , ",3.5,2022年3月,0,自动,2,后驱,国VI,2,中大型车,95,绿色
沃尔沃XC60 2021款 T5 四驱智逸豪华版,"22.80, , ",6.8,2020年10月,0,自动,2,四驱,国VI,2,中型SUV,95,香槟/棕色
奔驰C级 2021款 C 260 L 运动版,"24.88, , ",4.5,2021年5月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
埃尔法 2018款 改款 3.5L 豪华版,"68.50, , ",17.2,2019年9月,0,自动,3.5,前驱,国V,3.5,,95,黑色
奥迪A6L 2021款 40 TFSI 豪华动感型,"27.80, , ",10.7,2021年7月,0,自动,2,前驱,国VI,2,中大型车,95,黑色
缤越 2023款 缤越COOL 1.5TD DCT冠军版,"7.28, , ",1.7,2023年7月,0,自动,1.5,前驱,国VI,1.5,小型SUV,92,白色
沃尔沃S60 2018款 S60L T3 智进进取版,"9.98, , ",4.96,2018年5月,0,自动,1.5,前驱,国V,1.5,中型车,95,白色
科鲁泽 2022款 320 自动悦享天窗版,"7.69, , ",0.1,未上牌,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,红/紫色
沃尔沃V40 2017款 T3 智雅版,"8.98, , ",2.4,2018年2月,0,自动,1.5,前驱,国V,1.5,紧凑型车,95,白色
福克斯 2012款 两厢经典 1.8L 手动基本型,"1.88, , ",11.3,2012年9月,2,手动,1.8,前驱,国IV,1.8,紧凑型车,92,黑色
奔驰E级 2022款 改款 E 300 L 豪华型,"44.68, , ",5.4,2022年2月,0,自动,2,后驱,国VI,2,中大型车,95,黑色
奥迪Q5L 2022款 40T 豪华致雅型,"28.80, , ",3,2022年3月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
奔驰A级 2019款 A 180 L 运动轿车,"11.58, , ",5,2019年5月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,95,白色
途锐 2017款 3.0TSI 拓野型,"25.98, , ",8.9,2017年7月,2,自动,3,四驱,国V,3,中大型SUV,95,黑色
哈弗F7 2019款 1.5T 两驱i潮 国V,"6.40, , ",4.48,2019年2月,0,自动,1.5,前驱,国V,1.5,紧凑型SUV,92,黑色
马自达3 昂克赛拉 2020款 2.0L 自动质雅版,"8.30, , ",6,2020年10月,0,自动,2,前驱,国VI,2,紧凑型车,92,银/灰色
凯迪拉克CT4 2021款 28T 尊贵型,"13.60, , ",3,2021年4月,0,自动,2,后驱,国VI,2,中型车,95,黑色
揽胜 2021款 3.0 L6 传世加长经典版,"125.80, , ",4,2021年8月,0,自动,3,四驱,国VI,3,中大型SUV,95,黑色
奥迪Q5L 2020款 40 TFSI 荣享时尚型,"24.70, , ",5,2020年4月,1,自动,2,四驱,国VI,2,中型SUV,95,蓝色
Macan 2014款 Macan 2.0T,"20.68, , ",8.4,2015年5月,1,自动,2,四驱,欧V,2,中型SUV,95,白色
奥迪A3 2021款 A3L Limousine 35 TFSI 时尚运动型,"11.90, , ",3.5,2021年3月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,银/灰色
豪越 2020款 1.8TD DCT旗舰型 7座,"8.18, , ",3.8,2021年10月,0,自动,1.8,前驱,国VI,1.8,中型SUV,92,白色
凯迪拉克CT5 2020款 28T 时尚型,"14.89, , ",4.6,2020年1月,0,自动,2,后驱,国VI,2,中型车,95,黑色
奔驰GLC 2020款 改款 GLC 260 L 4MATIC 动感型,"26.80, , ",3.8,2020年9月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
威霆 2018款 2.0T 商务版 国VI,"27.80, , ",5.3,2020年1月,0,自动,2,后驱,国VI,2,,95,黑色
迈腾 2020款 330TSI DSG 豪华型,"14.50, , ",4.4,2021年3月,1,自动,2,前驱,国VI,2,中型车,95,黑色
迈腾 2019款 330TSI DSG 领先型 国VI,"11.98, , ",8,2019年9月,1,自动,2,前驱,国VI,2,中型车,95,黑色
英朗 2021款 改款 1.3T 自动轻混动精英型,"6.68, , ",1,2023年5月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,92,白色
兰德酷路泽 2012款 4.0L 自动VX,"44.80, , ",14,2016年6月,0,自动,4,四驱,国IV,4,中大型SUV,95,白色
威霆 2021款 2.0T 商务版 7座,"28.80, , ",6,2021年6月,0,自动,2,后驱,国VI,2,,95,黑色
", 哈弗H9 2020款 2.0T 汽油四驱豪华型 7座","15.38, , ",5.5,2019年12月,,", ",", ",,", ",,,,
传祺GS8 2022款 领航系列 2.0TGDI 两驱豪华智联版（七座）,"12.60, , ",2.6,2021年12月,0,自动,2,前驱,国VI,2,中型SUV,95,黑色
途睿欧 2017款 2.0T 自动精睿版,"11.88, , ",8,2019年3月,0,自动,2,前驱,国V,2,,92,白色
宝来 2020款 1.5L 自动时尚型,"6.38, , ",6.1,2020年10月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
奥迪A3 2022款 A3L Limousine 35 TFSI 时尚运动型,"13.80, , ",1.6,2022年5月,0,自动,1.4,前驱,国VI,1.4,紧凑型车,95,银/灰色
奔驰C级(进口) 2020款 C 260 轿跑车,"23.00, , ",5,2019年10月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
宝马3系 2015款 328Li 时尚型,"11.50, , ",8,2015年3月,1,自动,2,后驱,国IV(国V),2,中型车,95,白色
传祺M6 2019款 270T DCT豪华版（七座）国VI,"7.68, , ",5,2019年2月,0,自动,1.5,前驱,国VI,1.5,,92,银/灰色
魏牌 VV7 2017款 2.0T 旗舰型,"6.30, , ",7.71,2018年1月,0,自动,2,前驱,国V,2,中型SUV,92,红/紫色
宝马X5(进口) 2017款 xDrive28i,"25.98, , ",8,2017年3月,0,自动,2,四驱,欧VI,2,中大型SUV,95,白色
高尔夫(进口) 2019款 1.8TSI 旅行版,"10.88, , ",6.78,2019年11月,0,自动,1.8,前驱,国V,1.8,紧凑型车,95,白色
凯迪拉克CT5 2021款 28T 豪华型,"16.60, , ",3.2,2021年7月,0,自动,2,后驱,国VI,2,中型车,95,黑色
", 别克GL8 2022款 Avenir艾维亚 六座贤礼版","35.98, , ",3.9,2022年1月,,", ",", ",,", ",,,,
蒙迪欧 2017款 EcoBoost 180 豪华型,"6.68, , ",8,2016年12月,0,自动,1.5,前驱,国V,1.5,中型车,92,白色
红旗HS5 2022款 2.0T 智联旗享四驱版,"11.70, , ",2,2021年10月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
远景X6 2021款 PRO 1.4T 自动尊贵型,"6.68, , ",1.8,2022年10月,0,自动,1.4,前驱,国VI,1.4,紧凑型SUV,92,白色
捷途X70 PLUS 2021款 1.6T DCT辰 7座,"5.80, , ",2.6,2021年3月,0,自动,1.6,前驱,国VI,1.6,中型SUV,92,黑色
牧马人 2019款 2.0T Sahara 四门版 国VI,"32.80, , ",6.4,2019年4月,0,自动,2,四驱,国VI,2,中型SUV,95,黄/橙色
奔驰A级 2023款 A 200 L 时尚型,"18.20, , ",1.3,2022年7月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,95,白色
奥迪Q5 2017款 40 TFSI 进取型,"14.78, , ",9,2017年5月,0,自动,2,四驱,国V,2,中型SUV,95,香槟/棕色
威霆 2021款 2.0T 精英版 7座,"25.80, , ",7.6,2022年5月,0,自动,2,后驱,国VI,2,,95,黑色
长安UNI-K 2021款 2.0T 全轮驱动尊贵型,"10.60, , ",2.8,2021年4月,0,自动,2,四驱,国VI,2,中型SUV,92,银/灰色
奔驰CLA 2020款 CLA 200,"17.90, , ",3.2,2020年8月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,95,红/紫色
宝马X6 2015款 xDrive35i 豪华型,"24.80, , ",10,2015年3月,1,自动,3,四驱,欧IV,3,中大型SUV,95,白色
君越 2021款 552T 豪华型,"12.11, , ",3,2021年5月,0,自动,1.5,前驱,国VI,1.5,中型车,92,黑色
哈弗H6 2018款 蓝标 运动版 1.5T 手动两驱精英型,"4.20, , ",4.8,2018年10月,0,手动,1.5,前驱,国V,1.5,紧凑型SUV,92,白色
奔驰C级 2020款 C 200 L 动感型运动版,"20.58, , ",2.8,2021年2月,1,自动,1.5,后驱,国VI,1.5,中型车,95,白色
天籁 2019款 2.0L XL 舒适版,"10.20, , ",5,2019年5月,0,自动,2,前驱,国VI,2,中型车,92,黑色
亚洲狮 2021款 2.0L 豪华版,"9.80, , ",4.3,2021年6月,0,自动,2,前驱,国VI,2,紧凑型车,92,白色
奔驰E级(进口) 2021款 改款 E 260 敞篷轿跑车,"48.80, , ",4,2022年3月,0,自动,2,后驱,国VI,2,中大型车,95,白色
", 宝马3系 2017款 320Li 时尚型","14.80, , ",5.1,2017年5月,,", ",", ",,", ",,,,
威霆 2021款 2.0T 商务版 7座,"29.80, , ",6.4,2021年6月,0,自动,2,后驱,国VI,2,,95,黑色
奔驰CLS 2022款 CLS 300 豪华型,"49.80, , ",3,2022年3月,0,自动,2,后驱,国VI,2,中大型车,95,白色
奔驰C级 2019款 C 260 L,"21.88, , ",4,2019年1月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
奔驰C级 2019款 改款 C 260 L 运动版,"20.80, , ",3.5,2019年6月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
缤瑞 2022款 缤瑞COOL 1.5T DCT雷霆版,"7.96, , ",0.05,2023年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
凯迪拉克CT5 2020款 改款 28T 铂金运动版,"17.28, , ",3.6,2020年11月,0,自动,2,后驱,国VI,2,中型车,95,白色
奥迪Q2L 2018款 35 TFSI 时尚动感型 国VI,"10.98, , ",3.68,2019年2月,0,自动,1.4,前驱,国VI,1.4,小型SUV,95,白色
领克03 2023款 2.0TD DCT劲Pro,"11.60, , ",2,2022年12月,0,自动,2,前驱,国VI,2,紧凑型车,95,黑色
奔驰E级 2016款 E 300 L 时尚型,"28.38, , ",8,2018年2月,0,自动,2,后驱,欧V,2,中大型车,95,黑色
奥迪A1 2016款 30 TFSI Sportback Design风尚版,"6.98, , ",12,2017年6月,1,自动,1.4,前驱,国V,1.4,小型车,95,蓝色
途锐 2016款 3.0TSI 标配型,"16.58, , ",15.1,2016年2月,0,自动,3,四驱,国V,3,中大型SUV,95,黑色
开拓者 2022款 轻混 650T RS Twin-Clutch四驱7座 白夜版,"19.00, , ",3.5,2022年2月,0,自动,2,四驱,国VI,2,中大型SUV,95,黑色
宝马2系 2021款 225i 四门轿跑车 M运动套装,"13.78, , ",1.2,2020年3月,0,自动,2,前驱,国VI,2,紧凑型车,95,银/灰色
途观X 2021款 330TSI 两驱尊崇旗舰版,"16.38, , ",1.7,2021年5月,0,自动,2,前驱,国VI,2,中型SUV,95,黑色
长安欧尚X5 PLUS 2023款 1.5T DCT智趣AI版,"7.88, , ",0.2,2022年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
Ghibli 2017款 3.0T 标准版,"32.80, , ",7,2017年12月,0,自动,3,后驱,国V,3,中大型车,95,白色
红旗H5 2023款 2.0T 自动智联旗领版,"12.96, , ",2.3,2022年4月,0,自动,2,前驱,国VI,2,中型车,95,黑色
奥迪Q3 2020款 40 TFSI 时尚动感型,"15.24, , ",3.8,2020年9月,0,自动,2,前驱,国VI,2,紧凑型SUV,95,黑色
宝马3系 2021款 325Li M运动套装,"24.80, , ",7,2021年1月,0,自动,2,后驱,国VI,2,中型车,95,白色
Levante 2021款 3.0T 标准版,"58.80, , ",3.9,2021年8月,1,自动,3,四驱,国VI,3,中大型SUV,95,蓝色
领克05 2022款 2.0TD 两驱耀,"10.98, , ",1.3,2022年1月,0,自动,2,前驱,国VI,2,紧凑型SUV,95,黑色
奔驰A级 2022款 A 200 L 运动轿车时尚型,"15.20, , ",2,2022年9月,0,自动,1.3,前驱,国VI,1.3,紧凑型车,95,白色
迈腾 2020款 330TSI DSG 豪华型,"15.80, , ",7.7,2021年8月,0,自动,2,前驱,国VI,2,中型车,95,黑色
奔驰A级 2021款 A 200 L 运动轿车时尚型,"17.58, , ",4.7,2021年1月,1,自动,1.3,前驱,国VI,1.3,紧凑型车,95,蓝色
揽胜 2020款 3.0 L6 传世加长版,"106.80, , ",7.5,2019年11月,1,自动,3,四驱,国VI,3,中大型SUV,95,黑色
伊兰特 2023款 1.5L CVT GLX精英版,"8.28, , ",0.1,2023年12月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,白色
大通G10 2019款 PLUS 2.0T 自动精英版 国VI,"7.38, , ",5,2019年10月,0,自动,2,后驱,国VI,2,,92,白色
长安CS55PLUS 2022款 第二代 1.5T DCT尊贵型,"8.58, , ",1,2022年1月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
坦克300 2023款 越野版 2.0T 征服者,"17.75, , ",1.4,2023年7月,0,自动,2,四驱,国VI,2,紧凑型SUV,92,黑色
凌渡 2015款 230TSI DSG风尚版,"6.58, , ",7,2016年10月,0,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
宝马7系 2019款 730Li M运动套装,"48.60, , ",4,2020年1月,1,自动,2,后驱,国VI,2,大型车,95,黑色
宝马Z4 2019款 sDrive 25i M运动套装,"34.98, , ",1.4,2021年7月,0,自动,2,后驱,国VI,2,跑车,95,白色
宝马3系 2021款 320Li M运动套装,"18.97, , ",3.6,2020年11月,0,自动,2,后驱,国VI,2,中型车,95,黑色
魏牌 摩卡 2021款 2.0T 四驱特醇版,"12.28, , ",2,2021年5月,0,自动,2,四驱,国VI,2,中型SUV,92,蓝色
Levante 2018款 3.0T 经典版,"43.80, , ",8.87,2019年4月,2,自动,3,四驱,国V,3,中大型SUV,95,蓝色
指南者 2020款 220T 自动领先版,"7.18, , ",2.38,2020年8月,0,自动,1.3,前驱,国VI,1.3,紧凑型SUV,92,黑色
哈弗H6 2021款 第三代 1.5T 自动两驱Supreme,"7.88, , ",2.9,2021年6月,0,自动,1.5,前驱,国VI,1.5,紧凑型SUV,92,白色
宝马X7 2021款 xDrive40i 尊享型M运动套装,"72.50, , ",5.3,2021年4月,0,自动,3,四驱,国VI,3,大型SUV,95,黑色
奔驰E级 2018款 E 300 L 豪华型,"29.28, , ",7.4,2018年5月,0,自动,2,后驱,欧V,2,中大型车,95,黑色
探岳 2019款 330TSI 四驱豪华型 国VI,"12.85, , ",12.4,2019年7月,0,自动,2,四驱,国VI,2,中型SUV,95,白色
迈腾 2020款 330TSI DSG 豪华型,"13.98, , ",2.2,2020年7月,0,自动,2,前驱,国VI,2,中型车,95,黑色
凯迪拉克CT5 2020款 28T 技术型,"13.84, , ",3,2019年9月,0,自动,2,后驱,国VI,2,中型车,95,黑色
保时捷718 2020款 Boxster 2.0T,"47.88, , ",3.5,2020年5月,1,自动,2,中置后驱,国VI,2,跑车,95,白色
博瑞 2021款 1.8T 领航版+,"6.98, , ",3.5,2020年12月,0,自动,1.8,前驱,国VI,1.8,中型车,92,白色
途乐 2014款 5.6L LE,"28.80, , ",8.7,2014年9月,0,自动,5.6,四驱,国IV,5.6,大型SUV,95,白色
大通G20 2021款 PLUS 2.0T 汽油自动豪华版,"13.28, , ",2.8,2022年8月,0,自动,2,后驱,国VI,2,,92,白色
宝马X5(进口) 2021款 改款 xDrive30i M运动套装,"53.00, , ",3.9,2022年1月,0,自动,2,四驱,国VI,2,中大型SUV,95,银/灰色
坦克300 2023款 城市版 2.0T 很有型,"21.30, , ",0.5,2023年9月,1,自动,2,四驱,国VI,2,紧凑型SUV,92,银/灰色
奥迪A5 2021款 Sportback 40 TFSI 时尚动感型,"23.98, , ",3.2,2021年5月,0,自动,2,前驱,国VI,2,中型车,95,白色
奔驰GLB 2020款 GLB 200 时尚型,"19.80, , ",5.3,2020年1月,1,自动,1.3,前驱,国VI,1.3,紧凑型SUV,95,白色
标致4008 2017款 350THP 豪华版,"6.88, , ",9,2017年2月,0,自动,1.6,前驱,国V,1.6,紧凑型SUV,92,白色
宝马X3 2018款 xDrive30i 领先型 M运动套装 国V,"24.80, , ",9.9,2019年4月,0,自动,2,四驱,国V,2,中型SUV,95,蓝色
星越L 2021款 2.0TD DCT EVO两驱豪华型,"9.50, , ",2.8,2021年7月,0,自动,2,前驱,国VI,2,紧凑型SUV,95,白色
凯迪拉克XT5 2021款 28T 四驱豪华型,"20.80, , ",6.7,2021年8月,0,自动,2,四驱,国VI,2,中型SUV,95,黑色
奔驰C级 2022款 改款 C 260 L 运动版,"28.18, , ",2,2022年6月,1,自动,1.5,后驱,国VI,1.5,中型车,95,白色
大通G20 2021款 PLUS 2.0T 汽油自动豪华版,"12.30, , ",2.9,2023年3月,0,自动,2,后驱,国VI,2,,92,白色
", 长安CS75 PLUS 2020款 1.5T 自动豪华型","7.58, , ",5.9,2020年1月,,", ",", ",,", ",,,,
宝马1系 2018款 118i 时尚型,"7.50, , ",6.62,2018年9月,2,自动,1.5,前驱,国V,1.5,紧凑型车,95,蓝色
", Panamera 2021款 Panamera 4 行政加长版 2.9T","112.60, , ",2.3,2022年1月,,", ",", ",,", ",,,,
雅阁 2022款 260TURBO 幻夜・旗舰版,"14.40, , ",3,2021年12月,0,自动,1.5,前驱,国VI,1.5,中型车,92,银/灰色
Macan 2018款 Macan 2.0T,"33.38, , ",4.8,2019年3月,0,自动,2,四驱,国VI,2,中型SUV,95,蓝色
奔驰C级 2020款 C 260 L 运动版,"21.38, , ",9,2020年3月,1,自动,1.5,后驱,国VI,1.5,中型车,95,白色
", 宝马X3 2022款 改款 xDrive30i 领先型 M曜夜套装","31.98, , ",4,2022年11月,,", ",", ",,", ",,,,
豪越L 2023款 2.0T DCT旗舰型,"10.98, , ",0.7,2023年1月,0,自动,2,前驱,国VI,2,中型SUV,95,白色
奔驰GLB 2022款 改款二 GLB 200 时尚型,"22.98, , ",1,2022年4月,1,自动,1.3,前驱,国VI,1.3,紧凑型SUV,95,银/灰色
奔驰C级 2023款 C 260 L 运动版,"29.88, , ",1.6,2023年1月,0,自动,1.5,后驱,国VI,1.5,中型车,95,白色
奔驰C级 2019款 改款 C 260 L 运动版,"20.98, , ",5.8,2019年7月,1,自动,1.5,后驱,国VI,1.5,中型车,95,红/紫色
奔驰GLA 2018款 GLA 200 动感型,"10.98, , ",6.7,2018年11月,0,自动,1.6,前驱,国V,1.6,紧凑型SUV,95,蓝色
宝马X3 2022款 xDrive30i 领先型 M曜夜套装,"29.98, , ",1.3,2022年1月,0,自动,2,四驱,国VI,2,中型SUV,95,白色
凌渡 2018款 280TSI DSG舒适版,"7.42, , ",4.8,2018年8月,0,自动,1.4,前驱,国V,1.4,紧凑型车,95,白色
帝豪 2019款 领军版 1.5L CVT向上互联型 国V,"4.58, , ",6.8,2019年9月,0,自动,1.5,前驱,国V,1.5,紧凑型车,92,白色
奥迪A4L 2019款 40 TFSI 进取型 国V,"15.00, , ",7.7,2018年11月,0,自动,2,前驱,国V,2,中型车,95,香槟/棕色
奔驰GLC 2018款 GLC 260 4MATIC 动感型,"21.88, , ",8.8,2018年6月,0,自动,2,四驱,欧V,2,中型SUV,95,白色
长安CS95 2019款 2.0T 两驱豪华型,"9.38, , ",3.2,2020年12月,0,自动,2,前驱,国VI,2,中大型SUV,92,白色
传祺M8 2021款 大师系列 390T 至尊版,"19.68, , ",6.6,2021年1月,0,自动,2,前驱,国VI,2,,95,蓝色
领克03 2020款 03+ 2.0TD 自动驭风版,"14.50, , ",3,2020年11月,0,自动,2,四驱,国VI,2,紧凑型车,95,黄/橙色
奥迪A6L 2019款 45 TFSI 臻选动感型,"27.80, , ",7,2020年4月,0,自动,2,前驱,国VI,2,中大型车,95,白色
奔驰C级 2020款 C 260 L 运动版,"22.80, , ",6.6,2020年6月,1,自动,1.5,后驱,国VI,1.5,中型车,95,白色
长安UNI-V 2023款 1.5T 尊享型,"7.32, , ",1.2,2022年10月,0,自动,1.5,前驱,国VI,1.5,紧凑型车,92,银/灰色
牧马人 2017款 3.0L Sahara 四门舒享版,"21.98, , ",6.2,2018年4月,0,自动,3,四驱,国V,3,中型SUV,92,红/紫色
宝马3系 2020款 330i M运动曜夜套装,"25.20, , ",8,2021年1月,0,自动,2,后驱,国VI,2,中型车,95,白色
发现 2019款 3.0 SC V6 SE,"38.80, , ",6.9,2019年9月,1,自动,3,四驱,国VI,3,中大型SUV,95,白色
坦克300 2023款 越野版 2.0T 征服者,"16.83, , ",2.1,2022年1月,0,自动,2,四驱,国VI,2,紧凑型SUV,92,黑色
嘉际 2023款 嘉际L 1.5TD  DCT舒适型,"10.78, , ",0.01,2024年3月,0,自动,1.5,前驱,国VI,1.5,,92,银/灰色
领克02 Hatchback 2021款 2.0TD Halo,"13.98, , ",2.7,2021年11月,0,自动,2,前驱,国VI,2,紧凑型车,95,黄/橙色
", 奥迪A4L 2019款 40 TFSI 时尚型 国VI","18.60, , ",6,2021年3月,,", ",", ",,", ",,,,
奔驰E级 2021款 E 300 L 时尚型,"36.88, , ",8.7,2020年12月,0,自动,2,后驱,国VI,2,中大型车,95,黑色
奔驰GLB 2020款 GLB 200 动感型,"18.88, , ",8.5,2020年5月,0,自动,1.3,前驱,国VI,1.3,紧凑型SUV,95,黑色
奔腾T99 2020款 20TD 自动尊享型,"7.33, , ",7.3,2020年2月,0,自动,2,前驱,国VI,2,中大型SUV,95,银/灰色
宝马Z4 2019款 sDrive 25i M运动套装,"23.88, , ",4.58,2019年8月,0,自动,2,后驱,国VI,2,跑车,95,白色
奔驰C级 2019款 改款 C 260 L 运动版,"19.68, , ",8.4,2019年10月,0,自动,1.5,后驱,国VI,1.5,中型车,95,黑色
凯美瑞 2023款 2.0S 锋尚版,"15.88, , ",2.2,2023年9月,0,自动,2,前驱,国VI,2,中型车,92,白色
宝马3系 2019款 320Li M运动套装,"16.98, , ",8.5,2019年2月,0,自动,2,后驱,国VI,2,中型车,95,蓝色
领克03 2020款 03+ 2.0TD 自动驭风版,"13.60, , ",4,2020年12月,0,自动,2,四驱,国VI,2,紧凑型车,95,黄/橙色
世纪 2023款 2.0T 四座私享版,"56.98, , ",3,2023年4月,0,自动,2,前驱,国VI,2,,95,绿色
